X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
562366.664500002,325465.525,396695,2015/02/18 00:00:00+00,14:45:00,GMT,0.5,Englewood Beach,26.92467,-82.36189,Karenia brevis,0,HABW150219-007
571247.726500001,312368.1709,396696,2015/02/18 00:00:00+00,17:30:00,GMT,0.5,Boca Grande Pier (Gasparilla Sound),26.80562,-82.27415,Karenia brevis,0,HABW150219-008
730166.865400001,469063.8284,396697,2015/02/18 00:00:00+00,12:20:00,GMT,1.6,"Pineda Causeway; SE of (Indian River)",28.1869,-80.63,Karenia brevis,0,HABW150219-009
667814.855900001,636132.7651,396698,2015/02/17 00:00:00+00,14:25:00,GMT,0.5,Fort Matanzas Bridge (Matanzas Inlet),29.704917,-81.22786,Karenia brevis,0,HABW150219-010
667093.530099999,637183.8756,396699,2015/02/17 00:00:00+00,15:35:00,GMT,0.5,Fort Matanzas National Monument Dock (Matanzas Inlet),29.714528,-81.23508,Karenia brevis,0,HABW150219-011
664501.320500001,631983.481,396700,2015/02/17 00:00:00+00,16:15:00,GMT,0.3,Faver-Dykes (Pellicer Creek),29.66822,-81.2631,Karenia brevis,0,HABW150219-012
666094.506499998,640289.9989,396701,2015/02/17 00:00:00+00,16:05:00,GMT,0.3,Fort Matanzas (Matanzas Bay),29.7427,-81.2447,Karenia brevis,0,HABW150219-013
659704.152600002,654218.2083,396702,2015/02/17 00:00:00+00,15:15:00,GMT,0.3,San Sebastian (Matanzas River),29.8694,-81.3077,Karenia brevis,0,HABW150219-014
653562.645399999,674316.1827,396703,2015/02/17 00:00:00+00,14:20:00,GMT,0.3,"Pine Island; S of (Tolomato River)",30.0516,-81.3669,Karenia brevis,0,HABW150219-015
540436.090500001,370379.8928,396704,2015/02/18 00:00:00+00,14:05:00,GMT,0.5,Bay Dock (Sarasota Bay)  ,27.3316,-82.5779,Karenia brevis,0,HABW150219-016
540287.1928,370616.9314,396705,2015/02/18 00:00:00+00,14:10:00,GMT,0.5,New Pass Dock (Sarasota Bay)  ,27.33375,-82.57938,Karenia brevis,0,HABW150219-017
540436.090500001,370379.8928,396706,2015/02/19 00:00:00+00,14:10:00,GMT,0.5,Bay Dock (Sarasota Bay),27.3316,-82.5779,Karenia brevis,0,HABW150219-018
